Name,Date,Issuer,Link,TAGS,Notes
Java Memory management ,17/02/2019,Udemy,https://www.udemy.com/certificate/UC-TAX829FQ/,,
PID Control with Arduino,21/07/2023,Udemy,https://www.udemy.com/certificate/UC-04c3f3be-b58a-45db-9e55-7dc6b2f58513/,,
Apache Kafka Series - Kafka Streams for Data Processing ,24/01/2023,Udemy,https://www.udemy.com/certificate/UC-fab7ad6e-ce20-4d86-8714-bca1c093a7bc/,,
Javascript ES6 - a Fun and Clear Introduction,09/07/2018,Udemy,https://www.udemy.com/certificate/UC-KL2J1E8N/,,
jQuery for Absolute Beginners : From Beginning to Advanced,02/08/2018,Udemy,https://www.udemy.com/certificate/UC-C83SE30Z/,,
Mastering TypeScript Programming Techniques,29/07/2018,Udemy,https://www.udemy.com/certificate/UC-Y70XPVRO/,,
How to Build and Approval Workflow Application with Caspio,30/08/2018,Udemy,https://www.udemy.com/certificate/UC-QBB91EF7/,,
Typescript Async/Await in Node JS with testing,11/07/2018,Udemy,https://www.udemy.com/certificate/UC-ITIJW41B/,,
How to Sand Your Wood Floors Easy (Master Class) Sanding 101,20/05/2019,Udemy,https://www.udemy.com/certificate/UC-79GYZHPJ/,,
Learn to Use jQuery UI Widgets,02/08/2018,Udemy,https://www.udemy.com/certificate/UC-QLG1XD34/,,
Mocking application with moq,02/09/2018,Udemy,https://www.udemy.com/certificate/UC-MSDY0DIE/,,
Typescript Design Patterns,12/07/2018,Udemy,https://www.udemy.com/certificate/UC-BJJXE0XN/,,
Java 8 Functional Programming: Lambda Expressions Quickly,17/02/2019,Udemy,https://www.udemy.com/certificate/UC-C3BAH4P2/,,
8086 MIcroprocessor Architecture In One Video- In Easy Way,30/08/2018,Udemy,https://www.udemy.com/certificate/UC-Y78HTJ3V/,,
AWS S3 Basics,31/07/2021,Coursera,https://coursera.org/share/e95151d7a9b630e526af839d9d5f5b79,,
Fundamentals of Kubernetes Deployment,16/03/2024,Coursera,https://coursera.org/share/ecd8cb15e4d238afc75d6e9e912ce8b0,,
Introduction to Responsible AI,16/03/2024,Coursera,https://coursera.org/share/a78e273268fb0ef5b2ede2743a032a54,,
Introduction to FastAPI framework,29/04/2024,Coursera,https://coursera.org/share/8f9b14bbd6b2a8fcc686fb884ae16bdd,,
Unit Testing for C# Developers,30/05/2022,Udemy,https://www.udemy.com/certificate/UC-b600d495-3b9c-45b8-bfbe-647f65844aa8/,,
